Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Balance
100000001,Simon,Walsh,Male,21,England,'White Collar',113810.15
400000002,Jasmine,Miller,Female,34,Northern Ireland,'Blue Collar',36919.73
100000003,Liam,Brown,Male,46,England,'White Collar',101536.83
300000004,Trevor,Parr,Male,32,Wales,'White Collar',1421.52
100000005,Deirdre,Pullman,Female,38,England,'Blue Collar',35639.79
300000006,Ava,Coleman,Female,30,Wales,'Blue Collar',122443.77
100000007,Dorothy,Thomson,Female,34,England,'Blue Collar',42879.84
200000008,Lisa,Knox,Female,48,Scotland,'Other',36680.17
300000009,Ruth,Campbell,Female,33,Wales,'White Collar',74284.35
100000010,Dominic,Parr,Male,42,England,'White Collar',10912.45
100000011,Dominic,Lewis,Male,40,England,'White Collar',39667.83
100000012,Benjamin,Grant,Male,39,England,'White Collar',32281.62
100000013,Ryan,MacDonald,Male,24,England,'White Collar',40781.63
200000014,Thomas,Lawrence,Male,46,Scotland,'Other',48791.46
300000015,Madeleine,Marshall,Female,36,Wales,'Other',2846.03
100000016,Nicholas,Newman,Male,42,England,'White Collar',2116.85
200000017,Grace,Hill,Female,31,Scotland,'Other',10356.31
200000018,Samantha,Coleman,Female,42,Scotland,'Other',3801.69
100000019,William,Ince,Male,40,England,'Blue Collar',65534.69
100000020,Audrey,Jones,Female,46,England,'Blue Collar',11462.64
300000021,Boris,Johnston,Male,37,Wales,'Other',31778.9
200000022,Jason,Butler,Male,58,Scotland,'Blue Collar',21252.97
300000023,Deirdre,McDonald,Female,41,Wales,'White Collar',66785.78
200000024,Carl,Quinn,Male,52,Scotland,'Blue Collar',6580.81
100000025,Jennifer,Hughes,Female,38,England,'White Collar',20505.32
200000026,Richard,Fraser,Male,55,Scotland,'Blue Collar',43249.26
400000027,Rachel,McGrath,Female,37,Northern Ireland,'White Collar',3967.2
100000028,Alison,Fisher,Female,33,England,'White Collar',3428.56
200000029,Lucas,Mackenzie,Male,50,Scotland,'Blue Collar',20516.1
100000030,Luke,Wilkins,Male,42,England,'White Collar',10813.83
100000031,Megan,Bell,Female,25,England,'White Collar',38889.76
300000032,Warren,Edmunds,Male,30,Wales,'White Collar',14094.01
200000033,Grace,Chapman,Female,58,Scotland,'Other',25865.2
100000034,Jake,Wilson,Male,26,England,'Other',5833.62
100000035,Karen,Dyer,Female,34,England,'Blue Collar',77809.59
100000036,Yvonne,Thomson,Female,36,England,'White Collar',31680.67
100000037,Sophie,Gill,Female,33,England,'White Collar',20504.37
100000038,Robert,Cornish,Male,31,England,'Other',5688.36
200000039,Luke,Martin,Male,35,Scotland,'Blue Collar',12848.59
200000040,Gavin,Pullman,Male,59,Scotland,'Other',114456.23
100000041,Edward,Terry,Male,27,England,'Blue Collar',51412.6
100000042,Diane,Black,Female,35,England,'White Collar',9695.7
200000043,Jake,Morgan,Male,49,Scotland,'Blue Collar',114021.21
400000044,Yvonne,Churchill,Female,22,Northern Ireland,'Other',107728.07
100000045,Dorothy,Johnston,Female,53,England,'Other',2893.19
200000046,Lisa,Berry,Female,47,Scotland,'Other',54589.61
200000047,Leah,Nolan,Female,32,Scotland,'Other',59501.63
400000048,Carolyn,Lewis,Female,19,Northern Ireland,'Other',14337.82
100000049,Simon,Ball,Male,27,England,'White Collar',23921.89
100000050,Charles,Nolan,Male,39,England,'White Collar',39034.14
100000051,Sophie,Wilkins,Female,29,England,'Blue Collar',1401.43
100000052,Kimberly,James,Female,31,England,'Blue Collar',41626.25
100000053,Madeleine,Ellison,Female,37,England,'Other',47551.7
100000054,Irene,MacLeod,Female,32,England,'White Collar',24187.98
100000055,Cameron,Taylor,Male,24,England,'White Collar',4912.21
100000056,Liam,Gibson,Male,40,England,'White Collar',58391.45
100000057,Donna,Knox,Female,33,England,'Blue Collar',58033.89
100000058,Piers,Morgan,Male,44,England,'White Collar',35831.2
100000059,Phil,Randall,Male,39,England,'Other',1879.85
100000060,Ryan,White,Male,47,England,'White Collar',23375.57
100000061,Kylie,Howard,Female,35,England,'White Collar',4586.23
100000062,Fiona,Bell,Female,47,England,'Other',20336.8
100000063,Kevin,Gibson,Male,47,England,'White Collar',22414.93
100000064,Bernadette,Gibson,Female,39,England,'White Collar',40305.24
200000065,Maria,Hughes,Female,50,Scotland,'Other',18091.36
200000066,Piers,Burgess,Male,43,Scotland,'Blue Collar',20076.8
200000067,Dan,Ellison,Male,47,Scotland,'Blue Collar',5300.47
200000068,Lucas,Piper,Male,61,Scotland,'Blue Collar',7162.43
200000069,Jason,Sharp,Male,53,Scotland,'Blue Collar',35751.37
200000070,Kevin,Parr,Male,45,Scotland,'Other',15013.76
200000071,Dan,Mills,Male,49,Scotland,'Blue Collar',70041.44
200000072,Angela,Roberts,Female,51,Scotland,'Other',35937.38
300000073,Hannah,White,Female,36,Wales,'White Collar',41442.1
300000074,Oliver,Simpson,Male,45,Wales,'Other',36696.92
400000075,Olivia,Dowd,Female,30,Northern Ireland,'White Collar',21.03
200000076,Michael,Hemmings,Male,44,Scotland,'Blue Collar',58237.65
100000077,Frank,Brown,Male,38,England,'White Collar',28509.46
100000078,Diane,Simpson,Female,36,England,'Other',38715.45
300000079,Ruth,Mathis,Female,23,Wales,'Blue Collar',7370.52
100000080,David,Peters,Male,34,England,'White Collar',245.46
100000081,Joan,Buckland,Female,36,England,'White Collar',59935.75
100000082,Neil,Robertson,Male,20,England,'White Collar',11624.36
100000083,Paul,Mackay,Male,31,England,'Blue Collar',9346.66
100000084,Dylan,Fraser,Male,42,England,'White Collar',43770.37
100000085,Pippa,Buckland,Female,38,England,'White Collar',63642.19
100000086,Matt,McGrath,Male,39,England,'White Collar',22831.08
100000087,Jack,White,Male,41,England,'Other',4846.57
100000088,Jasmine,Piper,Female,24,England,'White Collar',71571.52
100000089,Michelle,Ellison,Female,24,England,'White Collar',42409.89
100000090,Wanda,Henderson,Female,35,England,'White Collar',4194.57
100000091,Blake,Reid,Male,35,England,'White Collar',75613.68
100000092,Jane,Forsyth,Female,26,England,'White Collar',28587.08
100000093,Dan,Peake,Male,23,England,'White Collar',14699.05
100000094,Lisa,Davies,Female,38,England,'Other',44034.26
100000095,Rebecca,Knox,Female,30,England,'White Collar',55046.35
100000096,Joshua,Slater,Male,28,England,'White Collar',67479.01
100000097,Heather,Wallace,Female,38,England,'Blue Collar',61890.85
100000098,Maria,Johnston,Female,36,England,'White Collar',1430.6
200000099,Robert,May,Male,40,Scotland,'Blue Collar',5456.86
200000100,Carolyn,Robertson,Female,56,Scotland,'Other',13251.27
200000101,Stewart,Lewis,Male,51,Scotland,'Blue Collar',119014.87
200000102,Emma,Piper,Female,44,Scotland,'White Collar',18829.79
200000103,Nicola,Powell,Female,55,Scotland,'White Collar',35939.04
200000104,Diana,McDonald,Female,57,Scotland,'Other',22686
200000105,Stephen,Ross,Male,48,Scotland,'White Collar',85108.08
200000106,Ella,Bond,Female,54,Scotland,'Other',44973.03
200000107,Ian,Wilson,Male,36,Scotland,'Blue Collar',12616.44
200000108,Piers,Quinn,Male,48,Scotland,'Blue Collar',23910.87
200000109,Joe,Forsyth,Male,63,Scotland,'Other',73461.71
200000110,Tim,Jones,Male,63,Scotland,'Blue Collar',26474.23
300000111,Sonia,Robertson,Female,25,Wales,'Other',70799.64
300000112,Nathan,Paterson,Male,26,Wales,'White Collar',20627.65
400000113,Tim,Hardacre,Male,29,Northern Ireland,'White Collar',82229.52
400000114,Fiona,Mills,Female,18,Northern Ireland,'Other',51171.29
400000115,Ruth,Oliver,Female,43,Northern Ireland,'Blue Collar',37889.38
100000116,Alison,Johnston,Female,36,England,'Other',21806.3
100000117,Amy,McGrath,Female,40,England,'Other',12415.5
200000118,Adam,McGrath,Male,52,Scotland,'Other',67682.92
100000119,Vanessa,Lyman,Female,18,England,'White Collar',33524.41
100000120,Andrea,Dickens,Female,31,England,'White Collar',136370.38
100000121,Ian,Slater,Male,37,England,'White Collar',39159.35
100000122,Jacob,Payne,Male,25,England,'Other',3738.1
100000123,Harry,Short,Male,50,England,'White Collar',43234.21
100000124,John,Black,Male,39,England,'Other',111149.47
100000125,Jonathan,MacDonald,Male,27,England,'White Collar',12312.49
100000126,Benjamin,Blake,Male,42,England,'White Collar',55661.5
100000127,Emma,Fraser,Female,27,England,'White Collar',10481.48
100000128,Virginia,Berry,Female,41,England,'White Collar',4347.79
100000129,Peter,Pullman,Male,47,England,'White Collar',15093.04
100000130,Alison,MacLeod,Female,27,England,'White Collar',27738.77
100000131,Anna,Wright,Female,41,England,'White Collar',27557.08
100000132,James,Marshall,Male,20,England,'Blue Collar',9578.65
100000133,Ruth,Bower,Female,38,England,'White Collar',40456.97
100000134,Owen,Powell,Male,34,England,'Blue Collar',44744.24
100000135,Piers,King,Male,42,England,'White Collar',56652.56
100000136,Christopher,Mackenzie,Male,26,England,'White Collar',12994.18
100000137,Sarah,Wallace,Female,43,England,'White Collar',42207.46
100000138,Richard,Hemmings,Male,37,England,'White Collar',10704.25
100000139,Nicola,Rampling,Female,40,England,'White Collar',57140.07
200000140,Keith,Harris,Male,57,Scotland,'Blue Collar',40510.36
100000141,Angela,Wright,Female,45,England,'White Collar',36584.21
100000142,Sam,Russell,Male,23,England,'White Collar',10249.56
100000143,Luke,Ball,Male,45,England,'Other',40379.31
100000144,Sean,Bell,Male,26,England,'White Collar',4539.24
100000145,Steven,Ball,Male,37,England,'White Collar',89120.92
100000146,Andrew,Gray,Male,41,England,'White Collar',51707.8
100000147,Jacob,Metcalfe,Male,33,England,'White Collar',4940.82
100000148,Madeleine,Ogden,Female,37,England,'White Collar',48405.93
100000149,Dylan,Davies,Male,33,England,'White Collar',32467.1
100000150,Michelle,Lee,Female,29,England,'White Collar',4020.51
100000151,Connor,Grant,Male,33,England,'White Collar',5160.27
100000152,Justin,Metcalfe,Male,32,England,'White Collar',51576.88
100000153,Elizabeth,Oliver,Female,36,England,'White Collar',57019.91
100000154,Kevin,Powell,Male,46,England,'White Collar',57365.32
100000155,Tim,Arnold,Male,33,England,'Blue Collar',1455.6
100000156,Charles,Roberts,Male,24,England,'Other',36256.2
100000157,Anthony,Cornish,Male,32,England,'White Collar',24927.39
100000158,Michael,Powell,Male,26,England,'White Collar',1009.69
100000159,Lucas,Lawrence,Male,30,England,'White Collar',21871.43
100000160,Alexander,Walker,Male,38,England,'White Collar',7602.94
100000161,Diana,Powell,Female,42,England,'White Collar',2337
100000162,Emma,Peters,Female,36,England,'Other',61541.83
100000163,Amanda,Morgan,Female,39,England,'White Collar',4120.66
200000164,Claire,Walsh,Female,59,Scotland,'Other',67524.87
200000165,Paul,Harris,Male,52,Scotland,'Blue Collar',4371.98
200000166,William,Mitchell,Male,51,Scotland,'Blue Collar',10229.63
300000167,Cameron,Ross,Male,24,Wales,'Blue Collar',19064.65
300000168,Pippa,Wilson,Female,30,Wales,'White Collar',30846.82
100000169,Blake,Mills,Male,39,England,'Blue Collar',71396.66
100000170,Natalie,Morrison,Female,32,England,'Other',3290.79
100000171,John,Hughes,Male,38,England,'White Collar',13181.22
100000172,Nicholas,Greene,Male,42,England,'Blue Collar',62923.29
100000173,Hannah,Thomson,Female,26,England,'White Collar',93353.93
100000174,Penelope,Glover,Female,31,England,'White Collar',46078.71
100000175,Max,Stewart,Male,31,England,'White Collar',15986.62
100000176,Wendy,Gill,Female,25,England,'White Collar',27384.85
100000177,Thomas,Bailey,Male,35,England,'White Collar',70349.32
100000178,Dan,Piper,Male,33,England,'Blue Collar',60748.04
100000179,Dan,Metcalfe,Male,24,England,'Blue Collar',52862.29
400000180,Eric,Bower,Male,29,Northern Ireland,'Blue Collar',20516.51
100000181,Mary,Watson,Female,32,England,'White Collar',99806.54
100000182,Austin,Ball,Male,36,England,'White Collar',21236.23
100000183,Christian,Piper,Male,31,England,'White Collar',115312.87
100000184,Peter,McGrath,Male,33,England,'Other',80564.87
100000185,Cameron,Short,Male,40,England,'Other',21351.4
200000186,Sue,Ellison,Female,51,Scotland,'Other',58953.83
100000187,Emma,Parr,Female,46,England,'White Collar',40685.39
100000188,Pippa,Mathis,Female,29,England,'White Collar',22659.88
100000189,Wendy,Morrison,Female,40,England,'White Collar',9431.04
100000190,Vanessa,Avery,Female,25,England,'Other',58714.66
200000191,Jason,Fisher,Male,51,Scotland,'Blue Collar',1239.6
100000192,Oliver,Blake,Male,39,England,'White Collar',48396.17
100000193,Jane,Wright,Female,44,England,'Other',12283.3
100000194,James,McGrath,Male,40,England,'White Collar',29331.41
100000195,Amanda,Young,Female,35,England,'White Collar',16390.11
100000196,Jennifer,Slater,Female,32,England,'White Collar',87203.66
100000197,Blake,Ross,Male,38,England,'Blue Collar',3141.6
100000198,Tim,North,Male,29,England,'White Collar',2299.26
100000199,Jasmine,Terry,Female,31,England,'Blue Collar',44162.06
100000200,Karen,Mackenzie,Female,47,England,'White Collar',90868.86
100000201,Oliver,Dickens,Male,34,England,'Other',37985.15
100000202,Fiona,Underwood,Female,37,England,'White Collar',54630.38
100000203,Yvonne,Arnold,Female,40,England,'White Collar',60648.52
100000204,Fiona,Vance,Female,26,England,'White Collar',18894.19
100000205,Anna,Lee,Female,25,England,'Blue Collar',79603.36
100000206,Wanda,Short,Female,36,England,'White Collar',109026.81
100000207,Blake,Berry,Male,41,England,'White Collar',73998.37
100000208,Phil,Lewis,Male,39,England,'White Collar',3734.24
100000209,Christian,Sharp,Male,39,England,'Blue Collar',23322.33
200000210,Blake,Rutherford,Male,44,Scotland,'Blue Collar',64482.16
100000211,Robert,Wright,Male,39,England,'White Collar',52505.16
100000212,Eric,North,Male,34,England,'White Collar',16569.82
100000213,Tracey,Grant,Female,29,England,'Blue Collar',21065.22
100000214,Faith,McDonald,Female,21,England,'Other',13487.9
100000215,Alan,Murray,Male,39,England,'Blue Collar',34338.84
100000216,Nathan,Turner,Male,38,England,'White Collar',48146.54
100000217,Carolyn,Hart,Female,28,England,'White Collar',27008.87
100000218,Theresa,Grant,Female,29,England,'White Collar',29907.72
100000219,Alexander,Ince,Male,25,England,'White Collar',31660.86
100000220,Maria,Simpson,Female,38,England,'Other',33509.17
100000221,Sally,Arnold,Female,45,England,'Blue Collar',2575.63
100000222,Jessica,Morrison,Female,33,England,'White Collar',4072.58
100000223,Lucas,Langdon,Male,32,England,'White Collar',15375.41
100000224,Christian,Baker,Male,43,England,'White Collar',18103.72
100000225,Piers,White,Male,31,England,'White Collar',63230.57
100000226,Gordon,Fraser,Male,40,England,'White Collar',9875.43
100000227,Connor,Gill,Male,29,England,'Other',106172.13
100000228,Virginia,Howard,Female,37,England,'White Collar',4611.5
100000229,Yvonne,Johnston,Female,36,England,'White Collar',42635.27
100000230,Dan,Terry,Male,42,England,'White Collar',51923.76
100000231,Audrey,McGrath,Female,45,England,'White Collar',39249.25
100000232,Trevor,King,Male,41,England,'Blue Collar',57762.79
100000233,Stewart,Pullman,Male,42,England,'White Collar',63869.71
100000234,Brian,Mackay,Male,42,England,'White Collar',10199.66
100000235,Jessica,James,Female,40,England,'White Collar',47518.92
100000236,Carol,Blake,Female,43,England,'White Collar',25542.15
100000237,Alison,Hudson,Female,43,England,'White Collar',23887.45
300000238,Dorothy,Miller,Female,27,Wales,'Other',39264.03
100000239,Natalie,Welch,Female,35,England,'White Collar',11880.47
100000240,John,Baker,Male,32,England,'White Collar',50658.95
100000241,Oliver,Powell,Male,43,England,'White Collar',14946.79
100000242,Amanda,Rees,Female,34,England,'Blue Collar',57148.41
100000243,Paul,Davies,Male,47,England,'Blue Collar',116144.95
100000244,Brian,Short,Male,39,England,'White Collar',45135.16
100000245,Matt,Graham,Male,31,England,'White Collar',9867.56
100000246,Justin,Paterson,Male,30,England,'White Collar',4442.71
100000247,Claire,Dickens,Female,33,England,'White Collar',14380.27
100000248,James,Miller,Male,37,England,'White Collar',4263.53
100000249,Brandon,Bower,Male,43,England,'White Collar',32667.33
100000250,Amelia,Mathis,Female,30,England,'Blue Collar',13407.54
100000251,Fiona,Jones,Female,33,England,'White Collar',57127.03
100000252,Nicholas,Lyman,Male,30,England,'White Collar',74588.31
100000253,Lauren,Ball,Female,29,England,'White Collar',41237.66
100000254,Stewart,Rees,Male,34,England,'White Collar',20276.52
100000255,Diane,Henderson,Female,36,England,'Blue Collar',20379
200000256,Julian,Peake,Male,46,Scotland,'Blue Collar',29487.25
200000257,Justin,Underwood,Male,36,Scotland,'Blue Collar',79483.58
200000258,Owen,McGrath,Male,54,Scotland,'Other',2112.92
200000259,Alison,Taylor,Female,50,Scotland,'Other',18160.49
200000260,Harry,Walsh,Male,45,Scotland,'Blue Collar',26059.74
200000261,Nathan,Howard,Male,47,Scotland,'Blue Collar',19177.31
200000262,Zoe,Clarkson,Female,59,Scotland,'Other',23550.89
200000263,Gabrielle,Marshall,Female,41,Scotland,'Other',87758.52
200000264,Lily,Davies,Female,48,Scotland,'Other',10577.52
200000265,Tim,Sanderson,Male,52,Scotland,'Blue Collar',45213.63
200000266,Karen,Oliver,Female,28,Scotland,'Other',13162.58
200000267,Luke,MacLeod,Male,55,Scotland,'Other',36993.45
300000268,James,Oliver,Male,28,Wales,'Blue Collar',67180.28
300000269,Gabrielle,Powell,Female,42,Wales,'Other',44094.63
300000270,Heather,Black,Female,63,Wales,'Other',27020.99
300000271,Carl,Abraham,Male,30,Wales,'White Collar',28912.8
400000272,Rose,Blake,Female,25,Northern Ireland,'White Collar',48997.63
100000273,Jake,Skinner,Male,41,England,'White Collar',41250.67
